country,code,time,open,high,low,close,volume,amount
US,CRWD,2019-06-12,63.5,67.0,56.0,58.0,19449162.0,1186009898.76
US,CRWD,2019-06-13,63.86,69.67,61.6,67.56,10923944.0,716392247.52
US,CRWD,2019-06-14,69.78,70.79,63.0201,64.16,6264212.0,419514277.64
US,CRWD,2019-06-17,64.75,70.01,62.0,70.01,3247471.0,216411467.44
US,CRWD,2019-06-18,73.0,78.7,71.5,76.5,6612626.0,500443535.68
US,CRWD,2019-06-19,78.75,79.79,73.555,77.22,3319070.0,254273952.7
US,CRWD,2019-06-20,78.0,78.22,70.69,74.85,3429610.0,252830849.2
US,CRWD,2019-06-21,72.46,73.9278,68.3,72.23,2657468.0,188627078.64
US,CRWD,2019-06-24,71.05,72.39,65.08,67.97,2448037.0,165658663.79
US,CRWD,2019-06-25,67.1,68.99,61.17,61.52,2482213.0,159482185.25
US,CRWD,2019-06-26,63.3,64.92,62.005,62.65,1625502.0,103268142.06
US,CRWD,2019-06-27,63.39,64.995,62.571,63.28,914612.0,58434560.68
US,CRWD,2019-06-28,64.36,68.38,63.3,68.29,1474303.0,97598858.6
US,CRWD,2019-07-01,69.1,69.729,61.81,63.2,2675367.0,171223488.0
US,CRWD,2019-07-02,63.3,65.03,61.7211,64.52,1738845.0,110520988.2
US,CRWD,2019-07-03,64.68,67.48,64.52,67.24,1564108.0,103841130.12
US,CRWD,2019-07-05,67.15,67.25,64.84,67.21,805222.0,53587524.1
US,CRWD,2019-07-08,68.26,71.7146,66.9,66.91,4567154.0,316686458.36
US,CRWD,2019-07-09,67.42,69.2,66.88,68.45,1782694.0,121793654.08
US,CRWD,2019-07-10,70.0,74.5,69.5,74.34,2719347.0,195792984.0
US,CRWD,2019-07-11,74.5,74.98,70.5,70.88,2351834.0,170249263.26
US,CRWD,2019-07-12,71.6,75.2,70.5,73.5,1838306.0,134545616.14
US,CRWD,2019-07-15,74.0,74.295,71.4,71.6,1325082.0,96068445.0
US,CRWD,2019-07-16,71.93,73.0873,69.0,69.54,1582319.0,111933246.06
US,CRWD,2019-07-17,70.0,71.56,69.59,71.0,1037007.0,73129733.64
US,CRWD,2019-07-18,71.0,74.19,70.15,72.75,3389964.0,244145207.28
US,CRWD,2019-07-19,85.16,85.85,80.75,83.52,13669036.0,1142047957.8
US,CRWD,2019-07-22,82.27,88.5,82.08,87.68,5357744.0,464087785.28
US,CRWD,2019-07-23,88.32,89.44,84.49,86.74,2529779.0,219534221.62
US,CRWD,2019-07-24,86.79,87.85,85.5,87.46,1250712.0,108711887.04
US,CRWD,2019-07-25,87.5,93.339,87.0,92.28,3270376.0,297898549.84
US,CRWD,2019-07-26,93.04,95.5,91.91,92.88,2053022.0,192676114.7
US,CRWD,2019-07-29,93.69,93.9,82.65,87.23,3317799.0,287951775.21
US,CRWD,2019-07-30,86.0,96.19,84.0,94.0,3127169.0,287949721.52
US,CRWD,2019-07-31,94.0,94.8011,86.8167,89.07,2475977.0,224125438.04
US,CRWD,2019-08-01,90.07,94.32,89.4389,91.53,2238247.0,206030636.35
US,CRWD,2019-08-02,91.54,92.78,86.91,88.01,1801007.0,161712418.53
US,CRWD,2019-08-05,83.34,86.92,82.25,85.48,2196373.0,187218834.52
US,CRWD,2019-08-06,87.2,89.76,82.71,85.24,1357428.0,116100816.84
US,CRWD,2019-08-07,83.69,86.45,82.8,84.22,990406.0,84006236.92
US,CRWD,2019-08-08,85.49,91.86,85.49,91.65,1692269.0,151644225.09
US,CRWD,2019-08-09,90.25,98.0,90.0,94.9,3063879.0,291926391.12
US,CRWD,2019-08-12,94.25,98.2,91.53,93.01,1895649.0,180105611.49
US,CRWD,2019-08-13,92.84,100.5,92.84,99.65,3034908.0,298088663.76
US,CRWD,2019-08-14,96.52,97.73,91.6,94.02,2822881.0,266649339.26
US,CRWD,2019-08-15,95.99,97.14,91.3701,93.66,1520342.0,142486452.24
US,CRWD,2019-08-16,95.0,98.1,93.4,96.05,1530550.0,146871578.0
US,CRWD,2019-08-19,98.8,101.4799,95.6,99.39,2801463.0,277624983.3
US,CRWD,2019-08-20,99.23,101.88,97.26,99.16,1439345.0,143833745.85
US,CRWD,2019-08-21,100.59,100.96,96.2701,96.58,1805604.0,177075584.28
US,CRWD,2019-08-22,96.29,96.58,92.8,92.97,1767533.0,166483933.27
US,CRWD,2019-08-23,91.37,91.56,86.0,88.43,3050846.0,270640548.66
US,CRWD,2019-08-26,90.24,90.84,86.13,88.88,1463680.0,129228307.2
US,CRWD,2019-08-27,89.28,89.95,83.2337,84.08,1828841.0,156164732.99
US,CRWD,2019-08-28,84.0,87.5244,82.6141,86.99,1921251.0,164459085.6
US,CRWD,2019-08-29,88.3,89.3463,83.29,83.82,1789971.0,152147535.0
US,CRWD,2019-08-30,84.02,84.94,78.89,81.28,1910152.0,155429068.24
US,CRWD,2019-09-03,80.85,83.8,80.2517,83.76,1832813.0,150217353.48
US,CRWD,2019-09-04,85.0,87.77,82.89,85.31,2412963.0,206284206.87
US,CRWD,2019-09-05,86.25,87.19,82.5,86.85,3971133.0,335243047.86
US,CRWD,2019-09-06,79.7,81.5,75.305,75.98,8672342.0,676442676.0
US,CRWD,2019-09-09,76.105,76.1184,64.34,67.1,8598237.0,590268970.05
US,CRWD,2019-09-10,65.7,71.8,65.7,71.65,4672469.0,325671089.3
US,CRWD,2019-09-11,69.21,70.93,67.2,69.11,3113980.0,215020319.0
US,CRWD,2019-09-12,69.68,72.4,69.06,69.66,2923450.0,205840114.5
US,CRWD,2019-09-13,69.86,70.31,64.71,64.86,4166281.0,276641058.4
US,CRWD,2019-09-16,63.71,68.86,63.5,67.86,2804534.0,187342871.2
US,CRWD,2019-09-17,68.64,71.3342,68.1301,71.04,2820589.0,197779700.68
US,CRWD,2019-09-18,70.12,71.8789,68.8,70.85,2003010.0,141272295.3
US,CRWD,2019-09-19,71.5,71.87,67.64,68.93,1690628.0,117143614.12
US,CRWD,2019-09-20,68.95,69.458,66.19,66.97,3374383.0,227433414.2
US,CRWD,2019-09-23,67.12,68.57,66.54,66.91,826629.0,55797457.5
US,CRWD,2019-09-24,67.02,67.37,62.0,62.52,2615966.0,166558555.22
US,CRWD,2019-09-25,62.0,63.39,60.11,62.02,2466798.0,153286827.72
US,CRWD,2019-09-26,62.05,62.36,57.66,58.3,2892188.0,170899388.92
US,CRWD,2019-09-27,58.27,58.33,52.84,53.46,4516813.0,248650555.65
US,CRWD,2019-09-30,53.5,58.65,51.61,58.31,4104029.0,230687470.09
US,CRWD,2019-10-01,58.3,59.51,55.65,57.89,2841737.0,163513546.98
US,CRWD,2019-10-02,56.805,57.66,54.07,56.63,1589815.0,89633769.7
US,CRWD,2019-10-03,59.48,62.4,56.754,62.14,5076359.0,304581540.0
US,CRWD,2019-10-04,62.0,64.46,61.55,63.84,2157446.0,136134842.6
US,CRWD,2019-10-07,63.36,69.7,62.72,68.78,3621793.0,246137052.28
US,CRWD,2019-10-08,67.4,68.43,64.48,65.3,2766793.0,182885017.3
US,CRWD,2019-10-09,66.35,66.43,62.5,63.08,2207773.0,140811761.94
US,CRWD,2019-10-10,62.6,63.61,60.4,61.41,2306927.0,142175911.01
US,CRWD,2019-10-11,58.77,61.48,57.27,60.27,3335811.0,197446653.09
US,CRWD,2019-10-14,55.8,57.85,53.2,54.52,4458071.0,246843391.27
US,CRWD,2019-10-15,55.01,56.41,54.0301,55.21,1982381.0,109962674.07
US,CRWD,2019-10-16,53.57,55.77,51.8,52.03,2597819.0,138567665.46
US,CRWD,2019-10-17,51.76,53.15,50.33,50.44,2785744.0,143075811.84
US,CRWD,2019-10-18,50.0,50.32,46.46,47.04,3675231.0,175455527.94
US,CRWD,2019-10-21,46.93,48.97,46.2203,47.4,2411137.0,113878000.51
US,CRWD,2019-10-22,47.25,48.48,44.581,46.2,2689238.0,123973871.8
US,CRWD,2019-10-23,47.0,50.43,46.03,47.87,3707978.0,180170651.02
US,CRWD,2019-10-24,48.6,52.18,48.11,51.84,2050992.0,103882744.8
US,CRWD,2019-10-25,50.88,52.07,49.41,50.11,1532804.0,77559882.4
US,CRWD,2019-10-28,50.26,51.3115,47.71,47.95,2761081.0,133608709.59
US,CRWD,2019-10-29,47.43,48.37,46.21,47.8,1740730.0,82214677.9
US,CRWD,2019-10-30,47.72,52.48,46.78,51.445,2224354.0,112329877.0
US,CRWD,2019-10-31,51.2,51.64,48.1,49.91,1052905.0,52150384.65
US,CRWD,2019-11-01,49.94,50.8473,47.75,48.5,1441265.0,70362557.3
US,CRWD,2019-11-04,49.15,50.4832,48.01,49.65,1311746.0,64577255.58
US,CRWD,2019-11-05,50.18,50.6,47.77,48.7,1468191.0,71633038.89
US,CRWD,2019-11-06,48.56,48.71,46.9,47.83,1028805.0,49166590.95
US,CRWD,2019-11-07,48.26,48.5,45.38,45.5,1669002.0,77775493.2
US,CRWD,2019-11-08,45.02,47.21,44.8,47.21,1980150.0,91364121.0
US,CRWD,2019-11-11,46.5,47.0,45.46,46.2,1287808.0,59380826.88
US,CRWD,2019-11-12,47.5,47.85,46.11,47.05,1740792.0,82130566.56
US,CRWD,2019-11-13,46.83,52.44,46.65,52.0,2868214.0,144672714.16
US,CRWD,2019-11-14,51.31,54.92,50.6428,52.73,2834077.0,150546170.24
US,CRWD,2019-11-15,53.0,59.99,53.0,59.75,4025799.0,230879572.65
US,CRWD,2019-11-18,60.0,60.0,55.52,57.07,2243460.0,129155992.2
US,CRWD,2019-11-19,57.45,57.556,53.76,56.0,1598494.0,88348763.38
US,CRWD,2019-11-20,55.24,58.3099,53.39,54.88,2260907.0,124372494.07
US,CRWD,2019-11-21,55.46,55.46,52.8515,53.77,963275.0,52016850.0
US,CRWD,2019-11-22,54.19,55.3,53.75,54.2,1029525.0,56181179.25
US,CRWD,2019-11-25,55.32,56.17,54.855,55.84,1849286.0,102875780.18
US,CRWD,2019-11-26,56.5,58.02,54.26,55.58,1998927.0,111919922.73
US,CRWD,2019-11-27,56.37,56.67,55.23,56.29,986792.0,55289955.76
US,CRWD,2019-11-29,56.96,59.5,56.32,58.0,1244410.0,72387329.7
US,CRWD,2019-12-02,58.5,58.6,52.5407,55.01,2931538.0,159504982.58
US,CRWD,2019-12-03,53.29,57.59,53.01,57.37,1402740.0,78595522.2
US,CRWD,2019-12-04,56.61,57.0,54.3,54.98,1607973.0,88840508.25
US,CRWD,2019-12-05,55.0,55.21,51.61,52.95,3557577.0,188836187.16
US,CRWD,2019-12-06,54.0,55.1,50.5,50.89,8033750.0,422253900.0
US,CRWD,2019-12-09,49.14,50.96,48.41,49.0,13807012.0,685932356.16
US,CRWD,2019-12-10,49.92,50.02,47.22,47.55,5760528.0,279328002.72
US,CRWD,2019-12-11,47.01,48.8,46.33,47.73,9367919.0,445631906.83
US,CRWD,2019-12-12,47.95,48.5,46.32,47.3,5712136.0,270983731.84
US,CRWD,2019-12-13,47.5,49.86,46.7,49.41,6366544.0,309796031.04
US,CRWD,2019-12-16,50.0,50.11,48.15,49.45,5035127.0,247728248.4
US,CRWD,2019-12-17,49.34,49.44,47.52,48.39,4745321.0,228582112.57
US,CRWD,2019-12-18,48.96,50.3,48.6,50.14,5660591.0,282010643.62
US,CRWD,2019-12-19,50.45,50.45,49.2,49.47,3047153.0,151443504.1
US,CRWD,2019-12-20,49.91,50.0,48.58,49.49,3120594.0,153720460.44
US,CRWD,2019-12-23,49.25,49.3,47.61,47.85,4589110.0,221332775.3
US,CRWD,2019-12-24,48.0,48.72,47.15,47.75,1508382.0,72357084.54
US,CRWD,2019-12-26,48.41,50.06,48.09,50.03,4779941.0,237563067.7
US,CRWD,2019-12-27,50.3,50.38,48.2,48.92,3510623.0,171529039.78
US,CRWD,2019-12-30,50.0,50.56,48.3912,50.03,5709659.0,283370376.17
US,CRWD,2019-12-31,49.34,50.34,48.9,49.87,3290695.0,164172773.55
US,CRWD,2020-01-02,50.03,50.75,49.25,49.44,4427985.0,221000731.35
US,CRWD,2020-01-03,48.92,51.99,48.7901,50.75,11256554.0,573859122.92
US,CRWD,2020-01-06,51.85,56.17,51.03,55.11,21771072.0,1173896202.24
US,CRWD,2020-01-07,54.55,56.5,54.5,54.75,12638949.0,698301932.25
US,CRWD,2020-01-08,54.2,55.86,53.3,55.66,7526569.0,414713951.9
US,CRWD,2020-01-09,56.95,57.25,55.1,55.94,6521874.0,367116287.46
US,CRWD,2020-01-10,56.49,58.3,56.0,57.2,8155289.0,467950482.82
US,CRWD,2020-01-13,57.36,59.74,57.0,58.97,7045548.0,414137311.44
US,CRWD,2020-01-14,59.23,60.66,57.5,59.24,7789240.0,462758748.4
US,CRWD,2020-01-15,59.23,61.97,59.23,60.25,7973345.0,485895644.3
US,CRWD,2020-01-16,61.5,62.75,61.0,62.24,6164623.0,381651809.93
US,CRWD,2020-01-17,63.05,63.7,62.06,63.45,6255850.0,393680640.5
US,CRWD,2020-01-21,63.02,63.39,61.26,62.24,6076676.0,378273081.0
US,CRWD,2020-01-22,63.0,64.04,62.3,62.57,4257778.0,268963836.26
US,CRWD,2020-01-23,62.57,62.66,60.71,61.55,4071701.0,250409611.5
US,CRWD,2020-01-24,62.0,63.05,57.84,59.25,6580248.0,395472904.8
US,CRWD,2020-01-27,56.58,58.16,55.3103,58.06,4425855.0,254132594.1
US,CRWD,2020-01-28,58.66,59.64,58.13,59.07,3073983.0,181610915.64
US,CRWD,2020-01-29,60.0,61.78,59.74,60.26,3483081.0,211840986.42
US,CRWD,2020-01-30,60.0,62.56,58.94,62.45,4162821.0,254723016.99
US,CRWD,2020-01-31,62.5,63.0,60.25,61.09,4062159.0,249416562.6
US,CRWD,2020-02-03,61.13,61.46,59.65,61.08,3706758.0,225000210.6
US,CRWD,2020-02-04,61.92,64.33,61.15,63.555,4618990.0,291042559.9
US,CRWD,2020-02-05,64.21,64.8,60.06,61.815,3998594.0,247193081.08
US,CRWD,2020-02-06,61.6,62.98,60.18,62.19,2259841.0,140403921.33
US,CRWD,2020-02-07,62.0,63.72,61.82,62.09,3055678.0,191713237.72
US,CRWD,2020-02-10,62.33,63.86,61.45,63.3,3877454.0,244512249.24
US,CRWD,2020-02-11,66.0,66.84,63.6552,65.19,7978151.0,521531730.87
US,CRWD,2020-02-12,65.19,65.5,62.72,65.08,5448316.0,353105359.96
US,CRWD,2020-02-13,64.25,66.2,64.13,65.31,4124467.0,269740141.8
US,CRWD,2020-02-14,65.81,65.83,63.87,64.85,4202496.0,272826040.32
US,CRWD,2020-02-18,65.0,66.28,64.55,66.04,4326970.0,284108850.2
